Area,Bedrooms,Age,Price
850,2,5,52
920,2,8,58
1100,3,10,76
1350,3,6,92
1600,3,15,88
1780,4,7,120
2100,4,10,138
2400,4,12,146
760,1,3,45
980,2,6,60
1240,3,9,82
1430,3,11,95
1700,4,13,128
1950,4,8,140
2230,4,14,150
700,1,2,40
890,2,5,55
1020,2,9,64
1180,3,6,78
1500,3,4,98
1620,3,7,105
1760,3,12,112
2000,4,9,135
2500,4,6,160
2750,4,4,178
3000,5,5,210
3200,5,8,225
1850,3,10,118
980,2,11,59
1400,3,14,89
2100,4,16,130
2600,4,10,165
3100,5,12,220
750,1,7,42
890,2,10,53
1320,3,13,80
1780,4,18,110
2250,4,20,145
2850,5,15,198
